provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI P A P U A,KABUPATEN DOGIYAI,9126032105806835,RICHARD ANTHONY SCHUMACHER,"DOGIYAI, 21-05-1980",LAKI-LAKI,B,JL MERUYA ILIR RAYA 83,023/019,TIPAUGI,PIYAIYE,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,DOGIYAI,18-09-2012
PROVINSI ACEH,KABUPATEN ACEH UTARA,1108051011600281,MARKUS PARMADI,"MATANGKULI, 10-11-1960",PEREMPUAN,O,JL BDN 9,013/023,TANJONG TEUNGKU KARI,MATANGKULI,ISLAM,CERAI MATI,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,ACEH UTARA,09-05-2018
PROVINSI KALIMANTAN TIMUR,KABUPATEN PASER,6401010305972381,MADAMPATH SATHIBAL MENON,"PASER, 03-05-1997",PEREMPUAN,B,JL KAJI 49,003/012,BUSUI,BATU SOPANG,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PASER,21-08-2013
PROVINSI GORONTALO,KABUPATEN GORONTALO UTARA,7505102303974272,WINATA WIRYAPUTRA,"BIAU, 23-03-1997",PEREMPUAN,O,JL RAYA PEJUANGAN KEBON JERUK PLAZA BL E/10-12,015/003,TOPI,BIAU,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,GORONTALO UTARA,02-03-2010
PROVINSI RIAU,KABUPATEN INDRAGIRI HILIR,1404191808938622,CHRISTOPHER FONG,"KEMPAS, 18-08-1993",PEREMPUAN,O,JL BEKASI RAYA KM 25,019/001,BAYAS JAYA,KEMPAS,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,INDRAGIRI HILIR,04-06-2018
PROVINSI SUMATERA SELATAN,KOTA LUBUK LINGGAU,1673012912972629,JOSO RAMLI,"LUBUK LINGGAU TIMUR I, 29-12-1997",PEREMPUAN,B,JL ARTERI KEDOYA 16,014/030,MAJAPAHIT,LUBUK LINGGAU TIMUR I,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA LUBUK LINGGAU,21-08-2018
PROVINSI LAMPUNG,KABUPATEN PESAWARAN,1809093007950188,MOHAMAD NOER,"PESAWARAN, 30-07-1995",PEREMPUAN,B,JL JEND SUDIRMAN KAV 47-48 PLAZA CENTRAL,009/012,BAYAS JAYA,WAY KHILAU,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PESAWARAN,22-08-2013
PROVINSI JAWA TENGAH,KABUPATEN TEMANGGUNG,3323142101599807,YUDHO ARITAMA,"TEMANGGUNG, 21-01-1959",PEREMPUAN,A,JL RAYA KALIMALANG PURI SENTRA NIAGA BL A/19,001/010,GEDEGAN,TLOGOMULYO,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,TEMANGGUNG,14-04-2018
PROVINSI SULAWESI SELATAN,KABUPATEN BONE,7308210507875332,SONAL RAVI SADARANGANI,"BONE, 05-07-1987",PEREMPUAN,A,JL TIRTAYASA RAYA 28,008/025,BIRU,TANETE RIATTANG,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BONE,15-05-2010
PROVINSI KALIMANTAN BARAT,KABUPATEN BENGKAYANG,6107171108631473,LINDA MARLINA ISATYAWAN,"BENGKAYANG, 11-08-1963",PEREMPUAN,A,JL PROF DR SATRIO MAL AMBASADOR 2-3,003/004,KAMUH,TUJUH BELAS,KRISTEN,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BENGKAYANG,10-09-2014
PROVINSI KALIMANTAN SELATAN,KABUPATEN TAPIN,6305053008593149,OMAR MITA,"TAPIN, 30-08-1959",LAKI-LAKI,O,JL JEND SUDIRMAN KAV 47-48 PLAZA CENTRAL,005/026,SUNGAI RUTAS,CANDI LARAS SELATAN,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TAPIN,29-07-2016
PROVINSI SULAWESI BARAT,KABUPATEN MAMASA,7603110205967063,INDAH DJUITA TJATURSARI,"BAMBANG, 02-05-1996",PEREMPUAN,A,JL.JATIWARINGIN,025/020,SALUDENGEN,BAMBANG,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MAMASA,28-04-2019
PROVINSI ACEH,KABUPATEN ACEH JAYA,1114012811699381,MUNKLEY CHRISTOPHER JAMES,"ACEH JAYA, 28-11-1969",PEREMPUAN,O,JL CIPINANG MUARA II RUSUN GURU 3,012/006,KEUDE TEUNOM,TEUNOM,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,ACEH JAYA,26-11-2015
PROVINSI ACEH,KABUPATEN ACEH TIMUR,1103200307978212,JUNUS SISWADI,"ACEH TIMUR, 03-07-1997",PEREMPUAN,B,JL CIPINANG MUARA RAYA 47,015/017,TAMPUR PALOH,SIMPANG JERNIH,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ACEH TIMUR,07-01-2015
PROVINSI JAWA TIMUR,KABUPATEN MADIUN,3519101106606939,POPPY HADIMAN,"MADIUN, 11-06-1960",PEREMPUAN,B,JL TEBET RAYA 58 D,008/025,KEBONAGUNG,BALEREJO,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MADIUN,13-08-2017
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN ENDE,5308170312574086,CHRISTIAN DIETER SCHOLZ,"ENDE, 03-12-1957",PEREMPUAN,AB,JL ARTERI KEDOYA 16,018/006,AEBARA,NDORI,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ENDE,04-10-2010
PROVINSI JAWA BARAT,KABUPATEN MAJALENGKA,3210080204722077,RONY NARPATISUTA MEDANLAGA,"MAJALENGKA, 02-04-1972",PEREMPUAN,A,JL PD JAYA II 21,001/004,SUKAHAJI,SUKAHAJI,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,MAJALENGKA,07-11-2012
PROVINSI LAMPUNG,KABUPATEN LAMPUNG SELATAN,1801071408662166,RONY NARPATISUTA MEDANLAGA,"LAMPUNG SELATAN, 14-08-1966",PEREMPUAN,B,JL KALIBATA TMR I 36 A,022/018,SIDODADI,SIDOMULYO,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,LAMPUNG SELATAN,09-06-2019
PROVINSI SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,1606012102863027,MOHAMMAD MAS PENDI SOLEH,"MUSI BANYUASIN, 21-02-1986",PEREMPUAN,A,JL MIMOSA VIII BL J/12,020/015,LUMPATAN 2,SEKAYU,ISLAM,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,MUSI BANYUASIN,05-11-2017
PROVINSI SULAWESI SELATAN,KABUPATEN WAJO,7313133012828565,FAHMI IDRIS,"WAJO, 30-12-1982",PEREMPUAN,AB,JL PD BAMBU ASRI UTR I 4,019/021,ABBATIRENG,GILIRENG,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,WAJO,14-01-2019
PROVINSI SUMATERA UTARA,KABUPATEN LANGKAT,1205072806625013,SINDHU WIBHISONO ONGKOSOEWITO,"LANGKAT, 28-06-1962",PEREMPUAN,O,JL NANGKA 18,012/011,BANYUMAS,STABAT,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,LANGKAT,02-05-2014
PROVINSI JAWA BARAT,KABUPATEN BEKASI,3216091211036635,JOSEPH DONALD CHARLES BUDDY,"BEKASI, 12-11-2003",LAKI-LAKI,A,JL KAJI 22 E,017/029,KARANGASIH,CIKARANG UTARA,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BEKASI,03-09-2014
PROVINSI PAPUA BARAT,KABUPATEN TAMBRAUW,9209082112816608,AHMAD RAHMAN PASAMAN,"MORAID, 21-12-1981",LAKI-LAKI,A,JL PETOJO MELINTANG 13,001/016,NAMUAS,MORAID,ISLAM,KAWIN,BURUH TANI/PERKEBUNAN,WNI,SEUMUR HIDUP,TAMBRAUW,11-10-2018
PROVINSI KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR,6202031106868708,SUSANTI PHENG,"KOTAWARINGIN TIMUR, 11-06-1986",PEREMPUAN,AB,KOMPL PAMULANG PERMAI BL SH-22/15,003/024,PAHIRANGAN,MENTAYA HULU,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KOTAWARINGIN TIMUR,01-09-2015
PROVINSI LAMPUNG,KABUPATEN WAY KANAN,1808130709800243,ADE TJAKRALAKSANA,"BUAY BAHUGA, 07-09-1980",PEREMPUAN,B,JL TEBET RAYA 58,011/005,SUKA AGUNG,BUAY BAHUGA,ISLAM,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,WAY KANAN,23-03-2020
PROVINSI ACEH,KABUPATEN ACEH TIMUR,1103151501602592,HARRY SUSANTO,"BANDA ALAM, 15-01-1960",PEREMPUAN,B,JL SIAGA II C 21 A,029/005,SEUNEUBOK  KANDANG,BANDA ALAM,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH TIMUR,05-08-2011
PROVINSI ACEH,KOTA LHOKSEUMAWE,1173030611576236,NESTOR PADILLA,"LHOKSEUMAWE, 06-11-1957",LAKI-LAKI,A,JL BUARAN III,022/001,KEUDE PUNTEUET,BLANG MANGAT,KRISTEN,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,KOTA LHOKSEUMAWE,11-01-2018
PROVINSI SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,1212191001978505,ZAINI ABIDIN NOOR,"SIGUMPAR, 10-01-1997",LAKI-LAKI,O,"JLN. JAMBORE RAYA, CIBUBUR",014/002,MAJU,SIGUMPAR,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TOBA SAMOSIR,12-02-2017
PROVINSI JAWA TENGAH,KABUPATEN BANYUMAS,3302221412730454,MULJADI BUDIMAN,"BATURRADEN, 14-12-1973",PEREMPUAN,A,JL RAYA PAMULANG KOMPL GRIYA,008/011,KARANGMANGU,BATURRADEN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANYUMAS,06-10-2020
PROVINSI BALI,KABUPATEN BANGLI,5106041610833677,TARGIAN TAN,"KINTAMANI, 16-10-1983",LAKI-LAKI,B,JL. PENJERNIHAN II NO.10 BENDUNGAN HILIR TANAH ABANG,025/010,BATUR SELATAN,KINTAMANI,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANGLI,08-09-2014
PROVINSI JAWA BARAT,KOTA TASIKMALAYA,3278032611939088,DARWIN LEO,"TASIKMALAYA, 26-11-1993",PEREMPUAN,A,JL RADEN SALEH 44 WISMA TUGU RADEN SALEH,006/026,EMPANGSARI,TAWANG,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA TASIKMALAYA,18-04-2013
PROVINSI RIAU,KABUPATEN KUANTAN SINGINGI,1409012303953404,KAMLESH ISHWARDAS,"KUANTAN MUDIK, 23-03-1995",PEREMPUAN,-,JL.JATIWARINGIN,021/025,AUR DURI,KUANTAN MUDIK,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KUANTAN SINGINGI,22-04-2019
PROVINSI BANTEN,KABUPATEN TANGERANG,3603072510993557,NATALIE TJAHJADI,"TANGERANG, 25-10-1999",PEREMPUAN,AB,JL H BUANG 16,007/011,PASILIAN,KRONJO,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,TANGERANG,09-11-2018
PROVINSI JAWA BARAT,KABUPATEN BOGOR,3201271905824429,MICHAEL RUSLI,"BOGOR, 19-05-1982",PEREMPUAN,-,TEBET TIMUR DALAM XI NO 38,008/019,MUARA JAYA,CARINGIN,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,BOGOR,25-11-2020
PROVINSI JAWA TENGAH,KABUPATEN KUDUS,3319013006596069,DODDY AGUSTIAWAN TJAHJADI,"KALIWUNGU, 30-06-1959",LAKI-LAKI,O,JL PROF DR SOEPOMO SH 44,009/014,SETROKALANGAN,KALIWUNGU,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KUDUS,24-02-2015
PROVINSI JAWA BARAT,KABUPATEN CIREBON,3209021204659060,JOHANNES OENTORO,"CIREBON, 12-04-1965",PEREMPUAN,O,JL BENDA ATAS 28-E,023/026,BOJONGNEGARA,CILEDUG,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,CIREBON,26-12-2014
PROVINSI JAWA TIMUR,KABUPATEN KEDIRI,3506020109797560,LIDWINA LINDAWATI KARTIKO,"MOJO, 01-09-1979",PEREMPUAN,B,JL VETERAN III 7-A,022/025,PONGGOK,MOJO,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KEDIRI,16-04-2014
PROVINSI SULAWESI UTARA,KABUPATEN BOLAANG MONGONDOW TIMUR,7110060408795636,MARKUN,"BOLAANG MONGONDOW TIMUR, 04-08-1979",LAKI-LAKI,A,JL ARTERI KEDOYA 16,012/020,MOTONGKAD TENGAH,MOTONGKAD,ISLAM,CERAI MATI,BURUH TANI/PERKEBUNAN,WNI,SEUMUR HIDUP,BOLAANG MONGONDOW TIMUR,30-04-2012
PROVINSI JAWA BARAT,KABUPATEN TASIKMALAYA,3206320207765740,DERMAWAN,"CISAYONG, 02-07-1976",PEREMPUAN,O,JL KAYU MANIS TMR RAYA 25-A,016/019,SUKAMUKTI,CISAYONG,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TASIKMALAYA,11-12-2012
PROVINSI ACEH,KABUPATEN ACEH TIMUR,1103090409789663,HORAS CHU NAGA,"SIMPANG ULIM, 04-09-1978",LAKI-LAKI,O,JL PROF SUPOMO SH KOMPL,025/018,NICAH AWE,SIMPANG ULIM,HINDU,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,ACEH TIMUR,24-08-2013
PROVINSI SUMATERA BARAT,KABUPATEN TANAH DATAR,1304132310786638,DAVID ALEXANDER YUWONO,"TANAH DATAR, 23-10-1978",PEREMPUAN,A,JL WARU 5-B,018/016,TAPI SELO,LINTAU BUO UTARA,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,TANAH DATAR,14-06-2018
PROVINSI KALIMANTAN TIMUR,KABUPATEN BERAU,6403021111689047,JULIANA ONG PEI I,"TALISAYAN, 11-11-1968",PEREMPUAN,B,JL P DIPONEGORO 25,010/022,SUKA MURYA,TALISAYAN,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BERAU,12-10-2014
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA,5318060802788092,SULISTIANI SAMPOERNA,"KODI BANGEDO, 08-02-1978",PEREMPUAN,A,JL RAYA PEJUANGAN KEBON JERUK,014/007,WAIKANINYO,KODI BANGEDO,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SUMBA BARAT DAYA,30-12-2011
PROVINSI JAWA TIMUR,KABUPATEN JEMBER,3509062801006083,ELIZABETH JAYNE,"TANGGUL, 28-01-2000",LAKI-LAKI,B,JL RAYA ARJUNA SLT PERK KEBUN JERUK BARU,020/001,DARUNGAN,TANGGUL,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,JEMBER,14-08-2018
PROVINSI SULAWESI SELATAN,KABUPATEN LUWU,7317032101923449,RONALD WIJAYA,"LUWU, 21-01-1992",PEREMPUAN,B,JL METRO PERMATA BL H-2/2,026/030,SULI,SULI,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,LUWU,10-10-2013
PROVINSI BALI,KABUPATEN BULELENG,5108061910762416,DEVI TRI ASMARASARI,"BULELENG, 19-10-1976",LAKI-LAKI,B,JL KALIPASIR 4,004/028,BERATAN,BULELENG,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BULELENG,05-06-2012
PROVINSI P A P U A,KABUPATEN TOLIKARA,9114100904927251,ONG WEN NIO,"TOLIKARA, 09-04-1992",PEREMPUAN,AB,JL CILILITAN KECIL,022/007,LUGWI,WONIKI,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TOLIKARA,06-11-2018
PROVINSI P A P U A,KABUPATEN PUNCAK JAYA,9107230906833198,JUNI SETIAWATI WONOWIDJOJO,"PUNCAK JAYA, 09-06-1983",LAKI-LAKI,B,JL GERAJA SHIP HOUSE VILLA BINTARO,026/002,GILILOME,LUMO,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PUNCAK JAYA,02-02-2011
PROVINSI RIAU,KABUPATEN KAMPAR,1401152811581434,JOHNNIE HERMANTO,"BANGKINANG, 28-11-1958",LAKI-LAKI,O,JL CILILITAN KECIL III,027/030,PASIR SIALANG,BANGKINANG,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KAMPAR,21-12-2010
PROVINSI SULAWESI UTARA,KABUPATEN MINAHASA TENGGARA,7107100306717641,WILLIAM LIETANAWATY,"MINAHASA TENGGARA, 03-06-1971",PEREMPUAN,A,JL H NAWI RAYA 46 C,019/015,TOMBATU TIGA,TOMBATU UTARA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MINAHASA TENGGARA,27-12-2017
PROVINSI ACEH,KABUPATEN ACEH TIMUR,1103101404008828,ALFARI NARINDRA,"ACEH TIMUR, 14-04-2000",PEREMPUAN,O,JL PALEM VI 70,026/011,ALUE BATEE,RANTAU PEUREULAK,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH TIMUR,26-04-2018
PROVINSI JAWA TENGAH,KABUPATEN REMBANG,3317141606766788,REIMER ALOAN SIMORANGKIR,"LASEM, 16-06-1976",PEREMPUAN,B,TAMAN NYIUR BLOK N NO.10C,004/015,KAJAR,LASEM,ISLAM,CERAI MATI,SOPIR,WNI,SEUMUR HIDUP,REMBANG,01-05-2012
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208211903634042,AUBREY BOBB,"PEMATANG BANDAR, 19-03-1963",PEREMPUAN,B,JL H SAMALI 39,027/027,KERASAAN I,PEMATANG BANDAR,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SIMALUNGUN,19-03-2020
PROVINSI SULAWESI SELATAN,KOTA MAKASSAR,7371131109629315,JOPIE WIDJAJA,"MAKASSAR, 11-09-1962",PEREMPUAN,O,JL JEND SUDIRMAN KAV 3-4 WISMA KYOEI PRINCE,023/025,BANTA-BANTAENG,RAPPOCINI,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KOTA MAKASSAR,13-04-2018
PROVINSI BANTEN,KOTA TANGERANG,3671091007634260,ULIAN NAPSIAH,"TANGERANG, 10-07-1963",PEREMPUAN,A,JL KESEHATAN 56-58,012/002,CIBODAS BARU,CIBODAS,KATHOLIK,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,KOTA TANGERANG,18-09-2010
PROVINSI SUMATERA BARAT,KOTA PADANG,1371013103632985,MOCHAMMAD ANWAR,"PADANG, 31-03-1963",PEREMPUAN,O,JL CILILITAN KECIL III,024/010,BATANG ARAU,PADANG SELATAN,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KOTA PADANG,03-06-2020
PROVINSI KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR,6202091809911428,SUHIANTORO SUPARDJONO,"KOTAWARINGIN TIMUR, 18-09-1991",PEREMPUAN,A,JL MAMPANG PRAPATAN RAYA 17 K,015/006,BAMADU,PULAU HANAUT,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KOTAWARINGIN TIMUR,21-08-2018
PROVINSI SULAWESI TENGAH,KABUPATEN TOJO UNA UNA,7209090406832562,SUFAN ABNER,"TOJO UNA UNA, 04-06-1983",PEREMPUAN,O,JL JEND GATOT SUBROTO KAV 72 WISMA ALDIRON DIRGANTARA,020/004,KATOGOP,WALEA BESAR,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TOJO UNA UNA,12-10-2018
PROVINSI JAWA BARAT,KABUPATEN CIAMIS,3207320303633709,ICHSANUDDIN NOORSY,"BAREGBEG, 03-03-1963",PEREMPUAN,O,JL PALEM VI,024/017,JELAT,BAREGBEG,ISLAM,CERAI HIDUP,GURU,WNI,SEUMUR HIDUP,CIAMIS,12-06-2014
PROVINSI P A P U A,KABUPATEN LANNY JAYA,9123090709618775,AMIN HALIM,"KUYAWAGE, 07-09-1961",LAKI-LAKI,O,JL PULO ASEM TMR VII,016/002,TUNIKELE,KUYAWAGE,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LANNY JAYA,03-04-2020
PROVINSI KALIMANTAN SELATAN,KABUPATEN TAPIN,6305021504663685,SUBARI SETIONO,"TAPIN SELATAN, 15-04-1966",LAKI-LAKI,O,JL RADEN SALEH 44 WISMA TUGU RADEN SALEH,010/011,TIMBAAN,TAPIN SELATAN,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TAPIN,19-09-2012
PROVINSI JAWA TIMUR,KABUPATEN BOJONEGORO,3522092403918991,DEWI LIVIA SARI ,"KEPOHBARU, 24-03-1991",PEREMPUAN,A,JL KAYU MANIS TMR RAYA 25-A,029/005,BUMIREJO,KEPOHBARU,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BOJONEGORO,14-02-2010
PROVINSI SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,1212022512646665,SURESH NARSINHDAS SHAH,"LAGUBOTI, 25-12-1964",PEREMPUAN,A,JL MENTENG RAYA 62,026/014,SIDULANG,LAGUBOTI,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TOBA SAMOSIR,20-06-2016
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105093011650547,BURHANSJAH,"KAYAN HULU, 30-11-1965",PEREMPUAN,O,JL CEMARA II KOMPL PONDOK CEMARA,025/026,TAPANG MANUA,KAYAN HULU,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SINTANG,14-10-2020
PROVINSI SUMATERA UTARA,KABUPATEN SIMALUNGUN,1208261101004769,RACHANA BHANSALI,"DOLOK SILAU, 11-01-2000",LAKI-LAKI,B,JLN. RAYA PONDOK GEDE NO. 37,017/028,PARIBUAN,DOLOK SILAU,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SIMALUNGUN,08-11-2016
PROVINSI LAMPUNG,KABUPATEN LAMPUNG TENGAH,1802030501000134,JUNTY YAN,"LAMPUNG TENGAH, 05-01-2000",LAKI-LAKI,A,JL METRO PERMATA BL H-2,006/012,BANDAR SARI,PADANG RATU,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LAMPUNG TENGAH,03-11-2010
PROVINSI LAMPUNG,KABUPATEN TANGGAMUS,1806031202978092,HADI GUNAWAN,"TANGGAMUS, 12-02-1997",LAKI-LAKI,A,JL LAPANGAN BOLA 3,008/006,DADIREJO,WONOSOBO,KRISTEN,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,TANGGAMUS,19-11-2020
PROVINSI JAWA TIMUR,KABUPATEN BOJONEGORO,3522192001616868,ADRIANA MAYA POLITON,"PADANGAN, 20-01-1961",PEREMPUAN,A,JL YRS I A/5,004/005,DENGOK,PADANGAN,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,BOJONEGORO,30-08-2016
PROVINSI KALIMANTAN BARAT,KABUPATEN KAPUAS HULU,6106202709010294,RUNI ADIANTI,"MENTEBAH, 27-09-2001",PEREMPUAN,B,JL PASAR KECAPI 31,021/012,TANJUNG,MENTEBAH,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KAPUAS HULU,10-06-2017
PROVINSI BENGKULU,KABUPATEN SELUMA,1705120111000655,HIOE LIANAWATI,"SELUMA, 01-11-2000",PEREMPUAN,B,JL. CIPINANG KEBEMBEM RAWA MANGUN,021/025,LUBUK LAGAN,TALO KECIL,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SELUMA,12-11-2014
PROVINSI P A P U A,KABUPATEN MIMIKA,9109031705639285,MARTINA M. SUKWIKAIMONO,"MIMIKA, 17-05-1963",LAKI-LAKI,A,JLN. RAYA PONDOK GEDE NO. 37,022/028,WANIA,MIMIKA TIMUR,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,MIMIKA,07-05-2017
PROVINSI KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,6310053003893890,ALICE HARYONO,"TANAH BUMBU, 30-03-1989",PEREMPUAN,A,JL CIPUTAT RAYA PONDOK PINANG CENTER BL C/28,021/014,MANGKALAPI,KUSAN HULU,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TANAH BUMBU,04-11-2016
PROVINSI ACEH,KABUPATEN ACEH JAYA,1114041908574291,DENNY SURYADINATA,"ACEH JAYA, 19-08-1957",PEREMPUAN,-,JL. CIPINANG KEBEMBEM RAWA MANGUN,001/022,IE JEUREUNGEH,SAMPOINIET,KRISTEN,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,ACEH JAYA,25-03-2010
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN SIKKA,5307200201800059,SUJONO HADIKUSUMO,"SIKKA, 02-01-1980",PEREMPUAN,B,JL YRS I A/5,023/023,WOLONTERANG,DORENG,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SIKKA,08-12-2010
PROVINSI JAWA TENGAH,KABUPATEN SRAGEN,3314070211588871,MELLY KRISTANTI,"SAMBUNGMACAN, 02-11-1958",PEREMPUAN,A,JL ARTERI KEDOYA 16,005/013,CEMENG,SAMBUNGMACAN,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,SRAGEN,01-03-2010
PROVINSI JAWA TIMUR,KABUPATEN BANGKALAN,3526151704915877,YUDI SANTOSO,"BLEGA, 17-04-1991",PEREMPUAN,B,JL TL BETUNG 17,026/001,LOMBANG LAOK,BLEGA,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,BANGKALAN,28-07-2020
